There are in total 1844 existing graphs.
8_14643:                 1          0#          0*
8_14648:                 1          0#          1*
8_14659:                 1          0#          1*
9_1:                     1          0#          0*
9_2:                     1          0#          0*
9_4:                     2          0#          0*
9_7:                     1          1#          0*
9_17:                    5          2#          1*
9_22:                  126         33#          0*
9_29:                    0          1#          0*
9_34:                    0          1#          0*
9_36:                    0          1#          0*
9_53:                    2          0#          0*
9_58:                    1          0#          0*
9_64:                    0          1#          0*
9_67:                   11          9#          0*
9_69:                    1          0#          0*
9_99:                    0          4#          0*
9_133:                   1          0#          1*
9_166:                   1          3#          0*
9_214:                   2          1#          0*
9_216:                   9          5#          0*
9_217:                 213         76#         17*
9_218:                   4          1#          1*
9_224:                  13          0#          1*
9_225:                   1          0#          0*
9_256:                   0          1#          0*
9_293:                   1          1#          0*
9_297:                  72        132#         16*
9_299:                   1          1#          0*
9_304:                   1          1#          0*
9_315:                   0          1#          0*
9_323:                  14         11#          3*
9_330:                   1          1#          0*
9_333:                   8          0#          4*
9_341:                   0          1#          0*
9_355:                   1          4#          3*
9_360:                   8          4#          3*
9_392:                   9          4#          4*
9_396:                   8          9#          3*
